rating,lastname,firstname,winorlose
1619	,Lomaka, Alexandre,  w
2195  	   ,Tran, Hiep,  l
2195   ,Therriault, James,  l
1986  	   ,Zheng, Jingfei,  l
1826,Crescitelli, Luis M.,  l
1693     ,Chen, Kaye,  l
