rating,lastname,firstname,winorlose
2219, Tan,Emily, Win 
1866, Feng, Dariah, w
2039, Chan, Natalie, lose
 2286, Ke, Tiffany, l
1975, ,  ,W
2249, , , l
2147 , Jindal, Priya, l
2160, He, Xianyao,lost
1990, Yu, Nolan, w
2355, Feng, Jense, l
2223, Gupta, Anav, lost
2278, Zhang, Henrik, w
1463, William, Genelia, won
2114, Shahnazari, Robert, loss
